iter	Passed	Remaining
0	482	482168
1	824	411356
2	1262	419438
3	1639	408203
4	2012	400424
5	2379	394205
6	2740	388766
7	3126	387745
8	3512	386758
9	3944	390554
10	4277	384617
11	4607	379386
12	4973	377629
13	5284	372168
14	5703	374519
15	6112	375918
16	6486	375061
17	6848	373617
18	7304	377132
19	7673	375994
20	8046	375130
21	8452	375758
22	8874	376974
23	9335	379625
24	9704	378482
25	10103	378498
26	10435	376076
27	10780	374252
28	11096	371540
29	11449	370188
30	11940	373251
31	12347	373526
32	12712	372523
33	13048	370739
34	13404	369572
35	13735	367808
36	14062	365994
37	14420	365065
38	14717	362652
39	15088	362126
40	15457	361547
41	15821	360875
42	16162	359703
43	16583	360313
44	16919	359078
45	17236	357468
46	17625	357375
47	17966	356338
48	18296	355096
49	18640	354178
50	18963	352870
51	19310	352041
52	19612	350438
53	20027	350860
54	20467	351666
55	20878	351954
56	21289	352215
57	21633	351354
58	22059	351837
59	22529	352958
60	22982	353781
61	23313	352715
62	23698	352462
63	24115	352687
64	24500	352428
65	24875	352026
66	25236	351428
67	25633	351330
68	26057	351586
69	26435	351216
70	26758	350122
71	27093	349202
72	27424	348251
73	27747	347222
74	28116	346767
75	28432	345673
76	28745	344574
77	29082	343770
78	29365	342354
79	29721	341792
80	30068	341142
81	30411	340456
82	30753	339774
83	31094	339073
84	31410	338127
85	31735	337281
86	32098	336853
87	32469	336497
88	32821	335955
89	33173	335416
90	33483	334471
91	33780	333398
92	34163	333183
93	34524	332755
94	34940	332854
95	35288	332295
96	35634	331731
97	35933	330734
98	36305	330417
99	36664	329977
100	37011	329438
101	37309	328468
102	37620	327630
103	38021	327567
104	38375	327107
105	38746	326789
106	39073	326099
107	39510	326328
108	39851	325760
109	40197	325231
110	40534	324640
111	40853	323911
112	41217	323537
113	41648	323687
114	41977	323042
115	42305	322393
116	42663	321980
117	43026	321608
118	43302	320583
119	43652	320117
120	44005	319673
121	44313	318914
122	44623	318167
123	44912	317282
124	45281	316973
125	45614	316403
126	45954	315894
127	46318	315548
128	46684	315207
129	47007	314586
130	47328	313959
131	47731	313869
132	48018	313020
133	48329	312337
134	48686	311955
135	49030	311489
136	49395	311157
137	49732	310648
138	50068	310135
139	50382	309490
140	50723	309018
141	51042	308414
142	51325	307596
143	51647	307013
144	51951	306333
145	52284	305830
146	52614	305306
147	52950	304820
148	53276	304282
149	53628	303894
150	53924	303191
151	54239	302598
152	54575	302129
153	54924	301728
154	55266	301293
155	55586	300734
156	55890	300102
157	56237	299694
158	56526	298987
159	56828	298349
160	57188	298018
161	57490	297387
162	57826	296936
163	58195	296656
164	58515	296121
165	58890	295869
166	59282	295702
167	59625	295286
168	60056	295308
169	60388	294838
170	60765	294587
171	61115	294209
172	61471	293852
173	61816	293449
174	62187	293169
175	62539	292798
176	62902	292481
177	63357	292583
178	63772	292496
179	64183	292391
180	64651	292541
181	65022	292244
182	65377	291875
183	65804	291829
184	66196	291621
185	66585	291402
186	66989	291244
187	67325	290790
188	67713	290557
189	68124	290424
190	68506	290166
191	68840	289704
192	69205	289370
193	69538	288908
194	69873	288452
195	70179	287881
196	70523	287461
197	70810	286819
198	71164	286444
199	71594	286376
200	71953	286024
201	72292	285589
202	72611	285079
203	72962	284696
204	73282	284193
205	73655	283896
206	73968	283367
207	74373	283191
208	74752	282915
209	75096	282505
210	75415	282002
211	75738	281518
212	76076	281090
213	76397	280600
214	76753	280240
215	77083	279783
216	77444	279443
217	77766	278961
218	78047	278335
219	78360	277824
220	78703	277422
221	79019	276924
222	79348	276475
223	79718	276165
224	80128	275998
225	80550	275868
226	80979	275757
227	81355	275465
228	81732	275178
229	82090	274824
230	82511	274680
231	82883	274371
232	83232	273989
233	83625	273748
234	84073	273686
235	84472	273462
236	84883	273275
237	85206	272805
238	85553	272411
239	85963	272219
240	86331	271890
241	86732	271667
242	87062	271219
243	87424	270873
244	87753	270425
245	88062	269915
246	88397	269486
247	88741	269088
248	89103	268742
249	89444	268333
250	89767	267870
251	90095	267426
252	90431	267004
253	90818	266733
254	91136	266262
255	91465	265822
256	91788	265365
257	92129	264960
258	92470	264559
259	92858	264289
260	93175	263818
261	93497	263362
262	93857	263015
263	94224	262686
264	94599	262378
265	94946	261996
266	95297	261621
267	95640	261226
268	95963	260779
269	96271	260288
270	96602	259862
271	96922	259409
272	97239	258949
273	97581	258554
274	97870	258021
275	98208	257619
276	98555	257240
277	98876	256793
278	99221	256411
279	99549	255983
280	99887	255583
281	100228	255191
282	100530	254700
283	100885	254344
284	101209	253910
285	101514	253430
286	101827	252972
287	102153	252545
288	102528	252240
289	102950	252050
290	103357	251822
291	103722	251490
292	104094	251177
293	104532	251020
294	104947	250806
295	105335	250528
296	105793	250413
297	106190	250154
298	106559	249825
299	106974	249606
300	107341	249274
301	107762	249067
302	108111	248692
303	108600	248637
304	108904	248160
305	109289	247865
306	109594	247391
307	109947	247024
308	110353	246777
309	110766	246544
310	111150	246247
311	111548	245979
312	111948	245713
313	112286	245314
314	112655	244981
315	113111	244836
316	113535	244619
317	113952	244387
318	114328	244067
319	114754	243852
320	115196	243671
321	115541	243283
322	115932	242991
323	116333	242719
324	116735	242450
325	117100	242103
326	117421	241666
327	117789	241324
328	118114	240896
329	118456	240501
330	118775	240063
331	119147	239730
332	119473	239305
333	119815	238914
334	120131	238469
335	120494	238119
336	120866	237786
337	121215	237411
338	121574	237051
339	121923	236674
340	122227	236210
341	122594	235868
342	122978	235560
343	123349	235225
344	123675	234804
345	123985	234353
346	124281	233877
347	124647	233535
348	124947	233068
349	125389	232866
350	125667	232359
351	126026	232003
352	126366	231611
353	126668	231151
354	127017	230777
355	127389	230446
356	127760	230112
357	128067	229662
358	128451	229351
359	128802	228981
360	129124	228560
361	129473	228187
362	129767	227719
363	130073	227271
364	130406	226872
365	130720	226438
366	131105	226129
367	131387	225643
368	131689	225192
369	132079	224892
370	132401	224476
371	132780	224156
372	133097	223732
373	133447	223364
374	133796	222994
375	134155	222641
376	134528	222311
377	134877	221941
378	135209	221543
379	135536	221138
380	135916	220819
381	136261	220443
382	136600	220058
383	136953	219696
384	137336	219382
385	137707	219047
386	138066	218695
387	138382	218273
388	138728	217899
389	139028	217454
390	139376	217085
391	139751	216756
392	140092	216376
393	140424	215982
394	140833	215706
395	141198	215363
396	141633	215126
397	142115	214958
398	142582	214767
